raceancd,white,black,indig,asian,latino,mixed,other,raceshort
"White",2.01e+07,24030,8034,4204,73003,126393,7269,20366883
"Black",18373,3527144,2354,5545,17484,65539,12123,3648562
"Indig",243527,19160,309341,16320,13632,71530,2100,675610
"Asian",31457,4124,2581,1475716,7110,79092,7654,1607734
"Latino",66836,5845,1352,378,3802588,4446,9732,3891177
"White/Black",10896,24009,97,33,1767,49447,2784,89033
"White/Indig",698462,4878,26540,228,5401,91685,718,827912
"White/Asian",32385,347,207,9665,2064,59913,1451,106032
"White/Latino",60523,393,119,32,18758,180082,478,260385
"Black/Indig",1917,44502,920,92,1144,22981,419,71975
"Black/Asian",173,3473,32,1674,441,9589,366,15748
"Black/Latino",366,6089,10,9,4378,30652,220,41724
"Indig/Asian",1609,236,2794,1629,1819,18942,52,27081
"Indig/Latino",3280,395,1239,20,14839,16096,121,35990
"Asian/Latino",750,67,27,1113,5459,19310,62,26788
