raceancd,yearint,white,black,indig,asian,latino,mixed,other,raceshort
"White",1990,7262829,7553,5921,1822,19326,0,1064,7298515
"Black",1990,7013,1014614,727,970,4787,0,2127,1030238
"Indig",1990,71956,3110,79330,6877,2944,0,457,164674
"Asian",1990,10806,631,713,272714,3231,0,239,288334
"Latino",1990,12779,1117,152,80,756214,0,3020,773362
"White/Black",1990,4553,7636,107,32,217,0,1114,13659
"White/Indig",1990,242037,921,13274,148,1051,0,192,257623
"White/Asian",1990,11545,48,125,5658,343,0,82,17801
"White/Latino",1990,13694,42,30,9,5860,25726,141,45502
"Black/Indig",1990,749,8103,844,67,143,0,159,10065
"Black/Asian",1990,37,1215,16,556,59,0,36,1919
"Black/Latino",1990,48,819,4,5,684,2708,35,4303
"Indig/Asian",1990,544,34,2075,1067,210,0,34,3964
"Indig/Latino",1990,606,52,325,5,3496,2030,33,6547
"Asian/Latino",1990,176,6,20,265,1032,1458,16,2973
"White",2000,6008957,5263,2630,1050,17907,54370,2377,6092554
"Black",2000,4982,1159454,865,1591,5860,24867,4038,1201657
"Indig",2000,64611,5160,98182,407,4686,22355,613,196014
"Asian",2000,7662,957,489,399192,2151,27629,1642,439722
"Latino",2000,20025,1900,364,99,1121216,1787,651,1146042
"White/Black",2000,2583,5248,32,6,258,9642,881,18650
"White/Indig",2000,181499,1030,8269,18,1148,23415,206,215585
"White/Asian",2000,8570,62,48,2559,475,13029,547,25290
"White/Latino",2000,16361,85,32,5,5305,40232,62,62082
"Black/Indig",2000,397,8174,211,3,183,4881,88,13937
"Black/Asian",2000,23,810,16,361,79,2160,75,3524
"Black/Latino",2000,56,1423,1,3,763,5804,30,8080
"Indig/Asian",2000,307,39,533,247,373,4345,11,5855
"Indig/Latino",2000,894,110,351,4,4224,4467,24,10074
"Asian/Latino",2000,177,11,2,233,1246,4516,11,6196
"White",2002,1835890,1895,854,514,5551,7858,1179,1853741
"Black",2002,1747,260349,183,416,1059,4435,909,269098
"Indig",2002,21970,1735,23053,1356,850,6651,164,55779
"Asian",2002,3555,456,234,115324,604,5821,553,126547
"Latino",2002,5113,496,63,34,241863,444,695,248708
"White/Black",2002,839,1648,12,5,85,2837,217,5643
"White/Indig",2002,64549,413,2382,17,436,7893,73,75763
"White/Asian",2002,3108,34,19,795,146,4043,118,8263
"White/Latino",2002,5003,28,10,4,1558,11803,27,18433
"Black/Indig",2002,163,3380,63,6,79,1710,36,5437
"Black/Asian",2002,20,278,2,138,29,598,40,1105
"Black/Latino",2002,22,388,0,0,288,1782,19,2499
"Indig/Asian",2002,180,16,345,196,271,2428,7,3443
"Indig/Latino",2002,349,47,108,0,1231,1524,12,3271
"Asian/Latino",2002,58,6,5,89,402,1354,3,1917
"White",2005,3612957,4458,1501,942,11759,13997,1050,3646664
"Black",2005,3678,561159,408,1023,2285,9461,2195,580209
"Indig",2005,48488,4103,46811,3878,1936,12331,432,117979
"Asian",2005,6971,869,574,251510,1110,11197,1669,273900
"Latino",2005,12152,1051,162,70,621007,820,3487,638749
"White/Black",2005,1943,4040,18,6,209,6396,439,13051
"White/Indig",2005,135956,937,4721,68,857,14358,146,157043
"White/Asian",2005,6554,58,45,1897,310,8285,256,17405
"White/Latino",2005,11736,71,17,6,4029,27132,122,43113
"Black/Indig",2005,448,8476,157,22,149,3619,94,12965
"Black/Asian",2005,46,641,1,311,56,1401,74,2530
"Black/Latino",2005,77,1030,1,3,721,4283,38,6153
"Indig/Asian",2005,382,58,593,354,337,3301,7,5032
"Indig/Latino",2005,826,107,269,4,3365,3263,31,7865
"Asian/Latino",2005,169,21,4,279,1021,3263,25,4782
"White",2008,4428800,6192,1440,992,17462,21708,1503,4478097
"Black",2008,4019,735617,433,1177,3377,14330,2536,761489
"Indig",2008,58779,5109,61551,6299,2782,16762,525,151807
"Asian",2008,7621,1051,650,338542,1418,17064,2168,368514
"Latino",2008,15161,1312,319,97,873425,918,3163,894395
"White/Black",2008,2695,5491,17,13,344,10356,551,19467
"White/Indig",2008,166805,1342,5574,76,1393,20896,151,196237
"White/Asian",2008,7132,108,51,2279,444,13582,287,23883
"White/Latino",2008,13783,125,31,14,4249,43808,167,62177
"Black/Indig",2008,479,11675,200,29,237,5574,123,18317
"Black/Asian",2008,43,809,7,436,91,2154,92,3632
"Black/Latino",2008,99,1500,5,1,1017,7343,73,10038
"Indig/Asian",2008,377,81,654,428,424,4514,16,6494
"Indig/Latino",2008,706,82,265,6,3385,3602,35,8081
"Asian/Latino",2008,197,14,12,273,1409,4983,14,6902
"White",2011,4237346,6222,1609,706,20324,28460,1160,4295827
"Black",2011,3947,810565,465,1338,4903,12446,2445,836109
"Indig",2011,49679,3053,79744,4380,3378,13431,366,154031
"Asian",2011,5648,791,634,371148,1827,17381,1622,399051
"Latino",2011,14385,1086,444,78,945077,477,1736,963283
"White/Black",2011,2836,7582,18,3,871,20216,696,32222
"White/Indig",2011,149653,1156,5594,49,1567,25123,142,183284
"White/Asian",2011,7021,85,44,2135,689,20974,243,31191
"White/Latino",2011,13640,84,29,3,3617,57107,100,74580
"Black/Indig",2011,430,12797,289,32,496,7197,78,21319
"Black/Asian",2011,41,935,6,428,186,3276,85,4957
"Black/Latino",2011,112,1748,3,2,1589,11440,60,14954
"Indig/Asian",2011,363,42,669,404,414,4354,11,6257
"Indig/Latino",2011,505,49,246,6,2634,3240,19,6699
"Asian/Latino",2011,149,15,4,239,1381,5194,9,6991
